Hour,Agent,Behavior,model,score,awake
25,Clark,sleep,fuzzy,0.0,0
25,Diana,cook,fuzzy,4.75,1
25,Barry,play,fuzzy,3.81,1
25,Lex,sleep,fuzzy,0.0,0
26,Bruce,study,fuzzy,3.9,1
26,Clark,sleep,fuzzy,0.0,0
26,Diana,lounge,fuzzy,4.6,1
26,Barry,lounge,fuzzy,4.6,1
26,Lex,sleep,fuzzy,0.0,0
27,Bruce,sleep,fuzzy,4.699999999999999,1
27,Clark,sleep,fuzzy,0.0,0
27,Diana,study,fuzzy,3.9,1
27,Barry,study,fuzzy,3.9,1
27,Lex,sleep,fuzzy,0.0,0
28,Bruce,play,fuzzy,4.05,1
28,Clark,sleep,fuzzy,0.0,0
28,Diana,play,fuzzy,3.49,1
28,Barry,play,fuzzy,4.05,1
28,Lex,sleep,fuzzy,0.0,0
29,Bruce,study,fuzzy,3.3400000000000003,1
29,Clark,sleep,fuzzy,0.0,0
29,Diana,lounge,fuzzy,4.6,1
29,Barry,lounge,fuzzy,4.6,1
29,Lex,sleep,fuzzy,0.0,0
30,Bruce,cook,fuzzy,4.75,1
30,Clark,sleep,fuzzy,0.0,0
30,Diana,study,fuzzy,3.9,1
30,Barry,sleep,fuzzy,5.1,1
30,Lex,sleep,fuzzy,0.0,0
31,Bruce,play,fuzzy,3.11,1
31,Clark,sleep,fuzzy,0.0,0
31,Diana,cook,fuzzy,4.75,1
31,Barry,cook,fuzzy,9.2,1
31,Lex,sleep,fuzzy,0.0,0
32,Bruce,study,fuzzy,2.52,1
32,Clark,sleep,fuzzy,0.0,0
32,Diana,lounge,fuzzy,4.6,1
32,Barry,lounge,fuzzy,4.6,1
32,Lex,sleep,fuzzy,0.0,0
33,Bruce,study,fuzzy,3.5,1
33,Clark,sleep,fuzzy,0.0,0
33,Diana,sleep,fuzzy,5.1,1
33,Barry,study,fuzzy,3.5,1
33,Lex,sleep,fuzzy,0.0,0
34,Bruce,sleep,fuzzy,5.1,1
34,Clark,sleep,fuzzy,0.0,0
34,Diana,play,fuzzy,3.49,1
34,Barry,play,fuzzy,3.84,1
34,Lex,sleep,fuzzy,0.0,0
35,Bruce,play,fuzzy,3.93,1
35,Clark,sleep,fuzzy,0.0,0
35,Diana,study,fuzzy,3.3400000000000003,1
35,Barry,lounge,fuzzy,4.6,1
35,Lex,sleep,fuzzy,0.0,0
36,Bruce,cook,fuzzy,4.75,1
36,Clark,sleep,fuzzy,0.0,0
36,Diana,study,fuzzy,3.5,1
36,Barry,study,fuzzy,3.5,1
36,Lex,sleep,fuzzy,0.0,0
37,Bruce,study,fuzzy,2.15,1
37,Clark,sleep,fuzzy,0.0,0
37,Diana,cook,fuzzy,4.75,1
37,Barry,cook,fuzzy,9.15,1
37,Lex,sleep,fuzzy,0.0,0
38,Bruce,play,fuzzy,3.11,1
38,Clark,sleep,fuzzy,0.0,0
38,Diana,play,fuzzy,3.49,1
38,Barry,lounge,fuzzy,4.6,1
38,Lex,sleep,fuzzy,0.0,0
39,Bruce,study,fuzzy,3.3400000000000003,1
39,Clark,sleep,fuzzy,0.0,0
39,Diana,study,fuzzy,3.3400000000000003,1
39,Barry,sleep,fuzzy,5.1,1
39,Lex,sleep,fuzzy,0.0,0
40,Bruce,study,fuzzy,2.52,1
40,Clark,sleep,fuzzy,0.0,0
40,Diana,sleep,fuzzy,5.1,1
40,Barry,cook,fuzzy,4.75,1
40,Lex,sleep,fuzzy,0.0,0
41,Bruce,sleep,fuzzy,5.1,1
41,Clark,sleep,fuzzy,0.0,0
41,Diana,play,fuzzy,3.49,1
41,Barry,lounge,fuzzy,4.6,1
41,Lex,sleep,fuzzy,0.0,0
42,Bruce,cook,fuzzy,4.75,1
42,Clark,sleep,fuzzy,0.0,0
42,Diana,study,fuzzy,3.3400000000000003,1
42,Barry,study,fuzzy,3.3400000000000003,1
42,Lex,sleep,fuzzy,0.0,0
43,Bruce,play,fuzzy,3.97,1
43,Clark,sleep,fuzzy,0.0,0
43,Diana,cook,fuzzy,4.75,1
43,Barry,play,fuzzy,3.49,1
43,Lex,sleep,fuzzy,0.0,0
44,Bruce,study,fuzzy,3.5,1
44,Clark,sleep,fuzzy,0.0,0
44,Diana,study,fuzzy,3.5,1
44,Barry,lounge,fuzzy,4.6,1
44,Lex,sleep,fuzzy,0.0,0
45,Bruce,play,fuzzy,3.11,1
45,Clark,sleep,fuzzy,0.0,0
45,Diana,play,fuzzy,3.49,1
45,Barry,play,fuzzy,3.53,1
45,Lex,sleep,fuzzy,0.0,0
46,Bruce,study,fuzzy,3.3400000000000003,1
46,Clark,sleep,fuzzy,0.0,0
46,Diana,study,fuzzy,3.3400000000000003,1
46,Barry,cook,fuzzy,4.75,1
46,Lex,sleep,fuzzy,0.0,0
47,Bruce,study,fuzzy,2.15,1
47,Clark,sleep,fuzzy,0.0,0
47,Diana,sleep,fuzzy,5.1,1
47,Barry,lounge,fuzzy,4.6,1
47,Lex,sleep,fuzzy,0.0,0
48,Bruce,cook,fuzzy,4.75,1
48,Clark,sleep,fuzzy,0.0,0
48,Diana,study,fuzzy,3.5,1
48,Barry,sleep,fuzzy,5.1,1
48,Lex,sleep,fuzzy,0.0,0
49,Bruce,sleep,fuzzy,5.1,1
49,Clark,sleep,fuzzy,0.0,0
49,Diana,cook,fuzzy,4.75,1
49,Barry,play,fuzzy,3.66,1
49,Lex,sleep,fuzzy,0.0,0
50,Bruce,study,fuzzy,3.5,1
50,Clark,sleep,fuzzy,0.0,0
50,Diana,study,fuzzy,3.5,1
50,Barry,lounge,fuzzy,4.6,1
50,Lex,sleep,fuzzy,0.0,0
51,Bruce,play,fuzzy,3.92,1
51,Clark,sleep,fuzzy,0.0,0
51,Diana,play,fuzzy,3.49,1
51,Barry,play,fuzzy,3.93,1
51,Lex,sleep,fuzzy,0.0,0
52,Bruce,study,fuzzy,3.3400000000000003,1
52,Clark,sleep,fuzzy,0.0,0
52,Diana,study,fuzzy,3.3400000000000003,1
52,Barry,cook,fuzzy,4.75,1
52,Lex,sleep,fuzzy,0.0,0
53,Bruce,play,fuzzy,3.81,1
53,Clark,sleep,fuzzy,0.0,0
53,Diana,play,fuzzy,3.49,1
53,Barry,play,fuzzy,2.9,1
53,Lex,sleep,fuzzy,0.0,0
54,Bruce,cook,fuzzy,4.75,1
54,Clark,sleep,fuzzy,0.0,0
54,Diana,sleep,fuzzy,5.1,1
54,Barry,study,fuzzy,3.74,1
54,Lex,sleep,fuzzy,0.0,0
55,Bruce,study,fuzzy,2.52,1
55,Clark,sleep,fuzzy,0.0,0
55,Diana,cook,fuzzy,4.75,1
55,Barry,sleep,fuzzy,5.1,1
55,Lex,sleep,fuzzy,0.0,0
56,Bruce,sleep,fuzzy,5.1,1
56,Clark,sleep,fuzzy,0.0,0
56,Diana,play,fuzzy,3.49,1
56,Barry,study,fuzzy,2.52,1
56,Lex,sleep,fuzzy,0.0,0
57,Bruce,study,fuzzy,3.5,1
57,Clark,sleep,fuzzy,0.0,0
57,Diana,study,fuzzy,3.5,1
57,Barry,study,fuzzy,3.5,1
57,Lex,sleep,fuzzy,0.0,0
58,Bruce,play,fuzzy,3.77,1
58,Clark,sleep,fuzzy,0.0,0
58,Diana,play,fuzzy,3.49,1
58,Barry,cook,fuzzy,4.75,1
58,Lex,sleep,fuzzy,0.0,0
59,Bruce,study,fuzzy,3.5,1
59,Clark,sleep,fuzzy,0.0,0
59,Diana,study,fuzzy,3.5,1
59,Barry,study,fuzzy,3.5,1
59,Lex,sleep,fuzzy,0.0,0
60,Bruce,cook,fuzzy,4.75,1
60,Clark,sleep,fuzzy,0.0,0
60,Diana,play,fuzzy,3.49,1
60,Barry,play,fuzzy,3.62,1
60,Lex,sleep,fuzzy,0.0,0
61,Bruce,study,fuzzy,3.5,1
61,Clark,sleep,fuzzy,0.0,0
61,Diana,cook,fuzzy,4.75,1
61,Barry,study,fuzzy,3.5,1
61,Lex,sleep,fuzzy,0.0,0
62,Bruce,play,fuzzy,3.62,1
62,Clark,sleep,fuzzy,0.0,0
62,Diana,sleep,fuzzy,5.1,1
62,Barry,sleep,fuzzy,5.1,1
62,Lex,sleep,fuzzy,0.0,0
63,Bruce,sleep,fuzzy,5.1,1
63,Clark,sleep,fuzzy,0.0,0
63,Diana,study,fuzzy,3.3400000000000003,1
63,Barry,study,fuzzy,3.3400000000000003,1
63,Lex,sleep,fuzzy,0.0,0
64,Bruce,play,fuzzy,3.97,1
64,Clark,sleep,fuzzy,0.0,0
64,Diana,play,fuzzy,3.49,1
64,Barry,cook,fuzzy,4.75,1
64,Lex,sleep,fuzzy,0.0,0
65,Bruce,study,fuzzy,3.5,1
65,Clark,sleep,fuzzy,0.0,0
65,Diana,study,fuzzy,3.5,1
65,Barry,study,fuzzy,3.5,1
65,Lex,sleep,fuzzy,0.0,0
66,Bruce,cook,fuzzy,4.75,1
66,Clark,sleep,fuzzy,0.0,0
66,Diana,play,fuzzy,3.49,1
66,Barry,play,fuzzy,3.49,1
66,Lex,sleep,fuzzy,0.0,0
67,Bruce,study,fuzzy,3.5,1
67,Clark,sleep,fuzzy,0.0,0
67,Diana,cook,fuzzy,4.75,1
67,Barry,study,fuzzy,3.5,1
67,Lex,sleep,fuzzy,0.0,0
68,Bruce,play,fuzzy,3.7,1
68,Clark,sleep,fuzzy,0.0,0
68,Diana,play,fuzzy,3.43,1
68,Barry,play,fuzzy,3.58,1
68,Lex,sleep,fuzzy,0.0,0
69,Bruce,study,fuzzy,3.3400000000000003,1
69,Clark,sleep,fuzzy,0.0,0
69,Diana,sleep,fuzzy,5.1,1
69,Barry,sleep,fuzzy,5.1,1
69,Lex,sleep,fuzzy,0.0,0
70,Bruce,sleep,fuzzy,5.1,1
70,Clark,sleep,fuzzy,0.0,0
70,Diana,study,fuzzy,3.5,1
70,Barry,cook,fuzzy,4.75,1
70,Lex,sleep,fuzzy,0.0,0
71,Bruce,play,fuzzy,3.84,1
71,Clark,sleep,fuzzy,0.0,0
71,Diana,play,fuzzy,3.58,1
71,Barry,play,fuzzy,3.82,1
71,Lex,sleep,fuzzy,0.0,0
