Hour,Agent,Behavior,model,score,awake
0,Bruce,cook,utility,0.5175,1
0,Clark,sleep,utility,0.0,0
0,Diana,sleep,utility,0.0,0
0,Barry,cook,utility,0.8274999999999999,1
0,Lex,sleep,utility,0.0,0
1,Bruce,sleep,utility,0.5348,1
1,Clark,sleep,utility,0.0,0
1,Diana,sleep,utility,0.0,0
1,Barry,sleep,utility,0.0,0
1,Lex,sleep,utility,0.0,0
2,Bruce,sleep,utility,0.0,0
2,Clark,sleep,utility,0.0,0
2,Diana,sleep,utility,0.0,0
2,Barry,sleep,utility,0.0,0
2,Lex,sleep,utility,0.0,0
3,Bruce,sleep,utility,0.0,0
3,Clark,sleep,utility,0.0,0
3,Diana,sleep,utility,0.0,0
3,Barry,sleep,utility,0.0,0
3,Lex,sleep,utility,0.0,0
4,Bruce,sleep,utility,0.0,0
4,Clark,sleep,utility,0.0,0
4,Diana,sleep,utility,0.0,0
4,Barry,sleep,utility,0.0,0
4,Lex,sleep,utility,0.0,0
5,Bruce,sleep,utility,0.0,0
5,Clark,sleep,utility,0.0,0
5,Diana,sleep,utility,0.0,0
5,Barry,sleep,utility,0.0,0
5,Lex,sleep,utility,0.0,0
6,Bruce,sleep,utility,0.0,0
6,Clark,sleep,utility,0.0,0
6,Diana,sleep,utility,0.0,0
6,Barry,sleep,utility,0.0,0
6,Lex,sleep,utility,0.0,0
7,Bruce,sleep,utility,0.0,0
7,Clark,cook,utility,0.8124999999999999,1
7,Diana,sleep,utility,0.0,0
7,Barry,sleep,utility,0.0,0
7,Lex,sleep,utility,0.0,0
8,Bruce,sleep,utility,0.0,0
8,Clark,lounge,utility,0.4472,1
8,Diana,cook,utility,0.6003,1
8,Barry,sleep,utility,0.0,0
8,Lex,cook,utility,0.7152999999999999,1
9,Bruce,sleep,utility,0.0,0
9,Clark,study,utility,0.7369000000000001,1
9,Diana,study,utility,0.7968,1
9,Barry,study,utility,0.8008,1
9,Lex,study,utility,0.7767999999999999,1
10,Bruce,study,utility,0.8282,1
10,Clark,study,utility,0.724,1
10,Diana,study,utility,0.7759,1
10,Barry,cook,utility,0.05134,1
10,Lex,study,utility,0.7639,1
11,Bruce,study,utility,0.8072999999999999,1
11,Clark,cook,utility,0.5859999999999999,1
11,Diana,play,utility,0.4661,1
11,Barry,study,utility,0.8058000000000001,1
11,Lex,study,utility,0.4469999999999999,1
12,Bruce,sleep,utility,0.09520000000000003,1
12,Clark,study,utility,0.42899999999999994,1
12,Diana,study,utility,0.4548999999999999,1
12,Barry,lounge,utility,0.5232,1
12,Lex,cook,utility,0.5647,1
13,Bruce,cook,utility,0.6658999999999999,1
13,Clark,shower,utility,0.5718000000000001,1
13,Diana,lounge,utility,0.6272571428571428,1
13,Barry,study,utility,0.47479999999999994,1
13,Lex,lounge,utility,0.49925714285714284,1
14,Bruce,play,utility,0.6958000000000001,1
14,Clark,lounge,utility,0.47131428571428574,1
14,Diana,shower,utility,0.8628000000000001,1
14,Barry,study,utility,0.6818000000000002,1
14,Lex,play,utility,0.7168000000000002,1
15,Bruce,play,utility,0.6412000000000002,1
15,Clark,play,utility,0.43650000000000005,1
15,Diana,play,utility,0.48910000000000003,1
15,Barry,study,utility,0.032999999999999974,1
15,Lex,shower,utility,0.6622000000000002,1
16,Bruce,study,utility,0.5866000000000001,1
16,Clark,clean,utility,0.42,1
16,Diana,cook,utility,0.48009999999999997,1
16,Barry,shower,utility,0.7526000000000003,1
16,Lex,study,utility,0.44969999999999993,1
17,Bruce,shower,utility,0.6220000000000002,1
17,Clark,cook,utility,0.5499999999999997,1
17,Diana,study,utility,0.4575999999999999,1
17,Barry,cook,utility,0.5624999999999999,1
17,Lex,play,utility,0.4445000000000002,1
18,Bruce,lounge,utility,0.4064,1
18,Clark,lounge,utility,0.628,1
18,Diana,lounge,utility,0.56,1
18,Barry,lounge,utility,0.7415999999999999,1
18,Lex,cook,utility,0.5771999999999999,1
19,Bruce,sleep,utility,0.0,1
19,Clark,sleep,utility,0.5060000000000001,1
19,Diana,sleep,utility,0.5472000000000001,1
19,Barry,lounge,utility,0.5272000000000001,1
19,Lex,sleep,utility,0.4732000000000001,1
20,Bruce,play,utility,0.5663285714285716,1
20,Clark,shower,utility,0.5406000000000003,1
20,Diana,play,utility,0.5581285714285715,1
20,Barry,sleep,utility,0.5432000000000002,1
20,Lex,play,utility,0.5021285714285716,1
21,Bruce,cook,utility,0.5618,1
21,Clark,lounge,utility,0.5968000000000001,1
21,Diana,shower,utility,0.8316000000000003,1
21,Barry,play,utility,0.6023000000000001,1
21,Lex,play,utility,0.4423000000000002,1
22,Bruce,cook,utility,0.03272000000000002,1
22,Clark,sleep,utility,0.5412000000000001,1
22,Diana,cook,utility,0.6175999999999999,1
22,Barry,lounge,utility,0.6908571428571428,1
22,Lex,sleep,utility,0.5664000000000002,1
23,Bruce,sleep,utility,0.5892000000000002,1
23,Clark,sleep,utility,0.0,0
23,Diana,sleep,utility,0.6388000000000003,1
23,Barry,shower,utility,0.7814000000000003,1
23,Lex,sleep,utility,0.0,0
24,Bruce,shower,utility,0.6304000000000002,1
24,Clark,sleep,utility,0.0,0
24,Diana,sleep,utility,0.6155999999999999,1
24,Barry,play,utility,0.6065000000000002,1
24,Lex,sleep,utility,0.0,0
25,Bruce,sleep,utility,0.5896000000000001,1
25,Clark,sleep,utility,0.0,0
25,Diana,sleep,utility,0.6172,1
25,Barry,play,utility,0.5599000000000002,1
25,Lex,sleep,utility,0.0,0
26,Bruce,sleep,utility,0.5912,1
26,Clark,sleep,utility,0.0,0
26,Diana,play,utility,0.6249000000000002,1
26,Barry,cook,utility,0.7629999999999999,1
26,Lex,sleep,utility,0.0,0
27,Bruce,sleep,utility,0.5928,1
27,Clark,sleep,utility,0.0,0
27,Diana,sleep,utility,0.6184000000000001,1
27,Barry,sleep,utility,0.5940000000000001,1
27,Lex,sleep,utility,0.0,0
28,Bruce,sleep,utility,0.5944,1
28,Clark,sleep,utility,0.0,0
28,Diana,play,utility,0.5949000000000002,1
28,Barry,clean,utility,0.583,1
28,Lex,sleep,utility,0.0,0
29,Bruce,sleep,utility,0.5960000000000001,1
29,Clark,sleep,utility,0.0,0
29,Diana,clean,utility,0.46599999999999997,1
29,Barry,sleep,utility,0.5792000000000002,1
29,Lex,sleep,utility,0.0,0
30,Bruce,play,utility,0.6031000000000002,1
30,Clark,sleep,utility,0.0,0
30,Diana,shower,utility,0.7062000000000004,1
30,Barry,sleep,utility,0.6404000000000004,1
30,Lex,sleep,utility,0.0,0
31,Bruce,play,utility,0.5565000000000002,1
31,Clark,sleep,utility,0.0,0
31,Diana,cook,utility,0.7698,1
31,Barry,shower,utility,0.6554000000000004,1
31,Lex,sleep,utility,0.0,0
32,Bruce,cook,utility,0.6951,1
32,Clark,sleep,utility,0.0,0
32,Diana,sleep,utility,1.0184000000000002,1
32,Barry,cook,utility,0.7295999999999999,1
32,Lex,sleep,utility,0.0,0
33,Bruce,shower,utility,0.6316000000000005,1
33,Clark,sleep,utility,0.0,0
33,Diana,sleep,utility,0.6140000000000001,1
33,Barry,sleep,utility,0.9856000000000001,1
33,Lex,sleep,utility,0.0,0
34,Bruce,sleep,utility,0.5880000000000001,1
34,Clark,sleep,utility,0.0,0
34,Diana,sleep,utility,0.6156000000000001,1
34,Barry,sleep,utility,0.9812000000000002,1
34,Lex,sleep,utility,0.0,0
35,Bruce,study,utility,0.5062999999999999,1
