Hour,Agent,Behavior,model,score,awake
0,Bruce,cook,utility,0.5175,1
0,Clark,sleep,utility,0.0,0
0,Diana,sleep,utility,0.0,0
0,Barry,cook,utility,0.8274999999999999,1
0,Lex,sleep,utility,0.0,0
1,Bruce,study,utility,0.4858,1
1,Clark,sleep,utility,0.0,0
1,Diana,sleep,utility,0.0,0
1,Barry,sleep,utility,0.0,0
1,Lex,sleep,utility,0.0,0
2,Bruce,sleep,utility,0.0,0
2,Clark,sleep,utility,0.0,0
2,Diana,sleep,utility,0.0,0
2,Barry,sleep,utility,0.0,0
2,Lex,sleep,utility,0.0,0
3,Bruce,sleep,utility,0.0,0
3,Clark,sleep,utility,0.0,0
3,Diana,sleep,utility,0.0,0
3,Barry,sleep,utility,0.0,0
3,Lex,sleep,utility,0.0,0
4,Bruce,sleep,utility,0.0,0
4,Clark,sleep,utility,0.0,0
4,Diana,sleep,utility,0.0,0
4,Barry,sleep,utility,0.0,0
4,Lex,sleep,utility,0.0,0
5,Bruce,sleep,utility,0.0,0
5,Clark,sleep,utility,0.0,0
5,Diana,sleep,utility,0.0,0
5,Barry,sleep,utility,0.0,0
5,Lex,sleep,utility,0.0,0
6,Bruce,sleep,utility,0.0,0
6,Clark,sleep,utility,0.0,0
6,Diana,sleep,utility,0.0,0
6,Barry,sleep,utility,0.0,0
6,Lex,sleep,utility,0.0,0
7,Bruce,sleep,utility,0.0,0
7,Clark,cook,utility,0.8124999999999999,1
7,Diana,sleep,utility,0.0,0
7,Barry,sleep,utility,0.0,0
7,Lex,sleep,utility,0.0,0
8,Bruce,sleep,utility,0.0,0
8,Clark,clean,utility,0.376,1
8,Diana,cook,utility,0.6003,1
8,Barry,sleep,utility,0.0,0
8,Lex,cook,utility,0.7152999999999999,1
9,Bruce,sleep,utility,0.0,0
9,Clark,lounge,utility,0.4488,1
9,Diana,study,utility,0.49679999999999996,1
9,Barry,lounge,utility,0.5152,1
9,Lex,study,utility,0.4768,1
10,Bruce,study,utility,0.4648999999999999,1
10,Clark,study,utility,0.43079999999999996,1
10,Diana,study,utility,0.4759,1
10,Barry,study,utility,0.49470000000000003,1
10,Lex,study,utility,0.4639000000000001,1
11,Bruce,study,utility,0.4439999999999999,1
11,Clark,cook,utility,0.47599999999999987,1
11,Diana,play,utility,0.4661,1
11,Barry,cook,utility,0.48850000000000005,1
11,Lex,study,utility,0.4469999999999999,1
12,Bruce,cook,utility,0.5831999999999999,1
12,Clark,study,utility,0.43579999999999997,1
12,Diana,clean,utility,0.305,1
12,Barry,study,utility,0.49570000000000003,1
12,Lex,cook,utility,0.5932,1
13,Bruce,play,utility,0.4549,1
13,Clark,shower,utility,0.5568000000000001,1
13,Diana,cook,utility,0.5585,1
13,Barry,lounge,utility,0.4888,1
13,Lex,study,utility,0.43819999999999987,1
14,Bruce,study,utility,0.7348000000000002,1
14,Clark,lounge,utility,0.4468571428571429,1
14,Diana,shower,utility,0.8478000000000001,1
14,Barry,study,utility,0.6668000000000002,1
14,Lex,play,utility,0.7318000000000001,1
15,Bruce,shower,utility,0.7702000000000003,1
15,Clark,study,utility,0.43489999999999995,1
15,Diana,play,utility,0.47730000000000006,1
15,Barry,clean,utility,0.7022000000000003,1
15,Lex,study,utility,0.6772000000000002,1
16,Bruce,play,utility,0.4709000000000001,1
16,Clark,play,utility,0.4363,1
16,Diana,study,utility,0.4748999999999999,1
16,Barry,shower,utility,0.7226000000000002,1
16,Lex,play,utility,0.4089000000000001,1
17,Bruce,study,utility,0.4339999999999999,1
17,Clark,clean,utility,0.375,1
17,Diana,study,utility,0.4539999999999999,1
17,Barry,play,utility,0.48990000000000006,1
17,Lex,shower,utility,0.6580000000000003,1
18,Bruce,play,utility,0.45719999999999994,1
18,Clark,cook,utility,0.6446999999999997,1
18,Diana,lounge,utility,0.5960000000000001,1
18,Barry,lounge,utility,0.6944,1
18,Lex,cook,utility,0.46719999999999995,1
19,Bruce,cook,utility,0.6540999999999999,1
19,Clark,lounge,utility,0.6981714285714287,1
19,Diana,sleep,utility,0.5775999999999999,1
19,Barry,cook,utility,0.8541000000000001,1
19,Lex,lounge,utility,0.5317714285714287,1
20,Bruce,play,utility,0.420957142857143,1
20,Clark,shower,utility,0.6036000000000002,1
20,Diana,cook,utility,0.5750999999999998,1
20,Barry,lounge,utility,0.6401714285714287,1
20,Lex,sleep,utility,0.5452000000000002,1
21,Bruce,sleep,utility,0.5876000000000001,1
21,Clark,lounge,utility,0.5410857142857145,1
21,Diana,shower,utility,0.9066000000000003,1
21,Barry,sleep,utility,0.5624000000000002,1
21,Lex,play,utility,0.5119285714285716,1
22,Bruce,shower,utility,0.6640000000000004,1
22,Clark,sleep,utility,0.6052000000000002,1
22,Diana,sleep,utility,0.6164000000000003,1
22,Barry,sleep,utility,0.5708000000000002,1
22,Lex,sleep,utility,0.5760000000000003,1
23,Bruce,sleep,utility,0.5864000000000003,1
23,Clark,sleep,utility,0.0,0
23,Diana,play,utility,0.6431000000000001,1
23,Barry,clean,utility,0.505,1
23,Lex,sleep,utility,0.0,0
