Hour,Agent,Behavior,model,score,awake
26,Barry,play,utility,0.6131000000000002,1
26,Lex,sleep,rule,0.0,0
27,Bruce,sleep,fuzzy,4.699999999999999,1
27,Clark,sleep,fuzzy,0.0,0
27,Diana,sleep,utility,0.6184000000000001,1
27,Barry,clean,utility,0.526,1
27,Lex,sleep,rule,0.0,0
28,Bruce,study,fuzzy,3.5,1
28,Clark,sleep,fuzzy,0.0,0
28,Diana,sleep,utility,0.6140000000000001,1
28,Barry,sleep,utility,0.5884,1
28,Lex,sleep,rule,0.0,0
29,Bruce,study,fuzzy,3.5,1
29,Clark,sleep,fuzzy,0.0,0
29,Diana,sleep,utility,0.6156000000000001,1
29,Barry,play,utility,0.5931000000000002,1
29,Lex,sleep,rule,0.0,0
30,Bruce,cook,fuzzy,4.75,1
30,Clark,sleep,fuzzy,0.0,0
30,Diana,shower,utility,0.7704000000000003,1
30,Barry,sleep,utility,0.5776000000000001,1
30,Lex,sleep,rule,0.0,0
31,Bruce,play,fuzzy,3.58,1
31,Clark,sleep,fuzzy,0.0,0
31,Diana,cook,utility,0.7676000000000001,1
31,Barry,cook,utility,0.7295999999999999,1
31,Lex,sleep,rule,0.0,0
32,Bruce,play,fuzzy,3.93,1
32,Clark,sleep,fuzzy,0.0,0
32,Diana,sleep,utility,0.6264000000000001,1
32,Barry,play,utility,0.5647000000000003,1
32,Lex,sleep,rule,0.0,0
33,Bruce,study,fuzzy,3.3400000000000003,1
33,Clark,sleep,fuzzy,0.0,0
33,Diana,play,utility,0.6449000000000003,1
33,Barry,shower,utility,0.5912000000000005,1
33,Lex,sleep,rule,0.0,0
34,Bruce,sleep,fuzzy,5.1,1
34,Clark,sleep,fuzzy,0.0,0
34,Diana,sleep,utility,0.6216000000000002,1
34,Barry,sleep,utility,0.9700000000000001,1
34,Lex,sleep,rule,0.0,0
35,Bruce,play,fuzzy,3.93,1
35,Clark,sleep,fuzzy,0.0,0
35,Diana,cook,utility,0.5100000000000001,1
35,Barry,sleep,utility,0.9716000000000001,1
35,Lex,sleep,rule,0.0,0
36,Bruce,cook,fuzzy,4.75,1
36,Clark,sleep,fuzzy,0.0,0
36,Diana,sleep,utility,0.6248,1
36,Barry,cook,utility,0.6367999999999998,1
36,Lex,sleep,rule,0.0,0
37,Bruce,study,fuzzy,2.52,1
37,Clark,sleep,fuzzy,0.0,0
37,Diana,shower,utility,0.8004000000000004,1
37,Barry,sleep,utility,0.5808,1
37,Lex,sleep,rule,0.0,0
38,Bruce,play,fuzzy,3.11,1
38,Clark,sleep,fuzzy,0.0,0
38,Diana,play,utility,0.6413000000000004,1
38,Barry,play,utility,0.5813000000000004,1
38,Lex,sleep,rule,0.0,0
39,Bruce,study,fuzzy,3.3400000000000003,1
39,Clark,sleep,fuzzy,0.0,0
39,Diana,sleep,utility,0.6216000000000002,1
39,Barry,sleep,utility,0.5760000000000001,1
39,Lex,sleep,rule,0.0,0
40,Bruce,study,fuzzy,3.5,1
40,Clark,sleep,fuzzy,0.0,0
40,Diana,sleep,utility,0.6172,1
40,Barry,shower,utility,0.6104000000000005,1
40,Lex,sleep,rule,0.0,0
41,Bruce,sleep,fuzzy,5.1,1
41,Clark,sleep,fuzzy,0.0,0
41,Diana,play,utility,0.6213000000000004,1
41,Barry,sleep,utility,0.5732000000000002,1
41,Lex,sleep,rule,0.0,0
42,Bruce,cook,fuzzy,4.75,1
42,Clark,sleep,fuzzy,0.0,0
42,Diana,clean,utility,0.5439999999999999,1
42,Barry,play,utility,0.5749000000000004,1
42,Lex,sleep,rule,0.0,0
43,Bruce,play,fuzzy,3.97,1
43,Clark,sleep,fuzzy,0.0,0
43,Diana,cook,utility,0.7141000000000001,1
43,Barry,cook,utility,0.6505999999999998,1
43,Lex,sleep,rule,0.0,0
44,Bruce,study,fuzzy,2.52,1
44,Clark,sleep,fuzzy,0.0,0
44,Diana,shower,utility,0.7716000000000006,1
44,Barry,sleep,utility,0.5820000000000001,1
44,Lex,sleep,rule,0.0,0
45,Bruce,play,fuzzy,3.11,1
45,Clark,sleep,fuzzy,0.0,0
45,Diana,sleep,utility,0.6172,1
45,Barry,clean,utility,0.589,1
45,Lex,sleep,rule,0.0,0
46,Bruce,study,fuzzy,3.5,1
46,Clark,sleep,fuzzy,0.0,0
46,Diana,play,utility,0.6231000000000004,1
46,Barry,sleep,utility,0.5792000000000002,1
46,Lex,sleep,rule,0.0,0
47,Bruce,study,fuzzy,3.5,1
47,Clark,sleep,fuzzy,0.0,0
47,Diana,sleep,utility,0.6184000000000001,1
47,Barry,shower,utility,0.6404000000000006,1
47,Lex,sleep,rule,0.0,0
48,Bruce,cook,fuzzy,4.75,1
48,Clark,sleep,fuzzy,0.0,0
48,Diana,sleep,utility,0.6140000000000001,1
48,Barry,play,utility,0.5813000000000005,1
48,Lex,sleep,rule,0.0,0
49,Bruce,sleep,fuzzy,5.1,1
49,Clark,sleep,fuzzy,0.0,0
49,Diana,cook,utility,0.6843,1
49,Barry,cook,utility,0.6147999999999997,1
49,Lex,sleep,rule,0.0,0
50,Bruce,play,fuzzy,3.97,1
50,Clark,sleep,fuzzy,0.0,0
50,Diana,sleep,utility,0.6232,1
50,Barry,sleep,utility,0.5836000000000001,1
50,Lex,sleep,rule,0.0,0
51,Bruce,study,fuzzy,3.3400000000000003,1
51,Clark,sleep,fuzzy,0.0,0
51,Diana,shower,utility,0.7854000000000007,1
51,Barry,clean,utility,0.577,1
51,Lex,sleep,rule,0.0,0
52,Bruce,play,fuzzy,3.11,1
52,Clark,sleep,fuzzy,0.0,0
52,Diana,play,utility,0.6295000000000005,1
52,Barry,sleep,utility,0.5808000000000002,1
52,Lex,sleep,rule,0.0,0
53,Bruce,study,fuzzy,3.3400000000000003,1
53,Clark,sleep,fuzzy,0.0,0
53,Diana,sleep,utility,0.6200000000000001,1
53,Barry,play,utility,0.5849000000000005,1
53,Lex,sleep,rule,0.0,0
54,Bruce,cook,fuzzy,4.75,1
54,Clark,sleep,fuzzy,0.0,0
54,Diana,sleep,utility,0.6156000000000001,1
54,Barry,shower,utility,0.6008000000000009,1
54,Lex,sleep,rule,0.0,0
55,Bruce,study,fuzzy,2.52,1
55,Clark,sleep,fuzzy,0.0,0
55,Diana,play,utility,0.6113000000000006,1
55,Barry,cook,utility,0.5775999999999998,1
55,Lex,sleep,rule,0.0,0
56,Bruce,sleep,fuzzy,5.1,1
56,Clark,sleep,fuzzy,0.0,0
56,Diana,cook,utility,0.6981,1
56,Barry,sleep,utility,0.5792000000000002,1
56,Lex,sleep,rule,0.0,0
57,Bruce,study,fuzzy,3.5,1
57,Clark,sleep,fuzzy,0.0,0
57,Diana,sleep,utility,0.6244000000000001,1
57,Barry,sleep,utility,0.5748000000000002,1
57,Lex,sleep,rule,0.0,0
58,Bruce,study,fuzzy,3.5,1
58,Clark,sleep,fuzzy,0.0,0
58,Diana,shower,utility,0.7404000000000008,1
58,Barry,clean,utility,0.571,1
58,Lex,sleep,rule,0.0,0
59,Bruce,play,fuzzy,3.58,1
59,Clark,sleep,fuzzy,0.0,0
59,Diana,sleep,utility,0.6156000000000001,1
59,Barry,sleep,utility,0.5840000000000001,1
59,Lex,sleep,rule,0.0,0
60,Bruce,cook,fuzzy,4.75,1
60,Clark,sleep,fuzzy,0.0,0
60,Diana,sleep,utility,0.6172000000000002,1
60,Barry,play,utility,0.6049000000000005,1
60,Lex,sleep,rule,0.0,0
61,Bruce,study,fuzzy,3.5,1
61,Clark,sleep,fuzzy,0.0,0
61,Diana,play,utility,0.6231000000000005,1
61,Barry,cook,utility,0.5387999999999997,1
61,Lex,sleep,rule,0.0,0
62,Bruce,play,fuzzy,3.62,1
62,Clark,sleep,fuzzy,0.0,0
62,Diana,cook,utility,0.6601,1
62,Barry,shower,utility,0.6512000000000009,1
62,Lex,sleep,rule,0.0,0
63,Bruce,sleep,fuzzy,5.1,1
63,Clark,sleep,fuzzy,0.0,0
63,Diana,sleep,utility,0.6260000000000001,1
63,Barry,play,utility,0.5813000000000007,1
63,Lex,sleep,rule,0.0,0
64,Bruce,play,fuzzy,3.97,1
64,Clark,sleep,fuzzy,0.0,0
64,Diana,clean,utility,0.631,1
64,Barry,sleep,utility,0.5760000000000001,1
64,Lex,sleep,rule,0.0,0
65,Bruce,study,fuzzy,3.5,1
65,Clark,sleep,fuzzy,0.0,0
65,Diana,shower,utility,0.775800000000001,1
65,Barry,sleep,utility,0.5716000000000001,1
65,Lex,sleep,rule,0.0,0
66,Bruce,cook,fuzzy,4.75,1
66,Clark,sleep,fuzzy,0.0,0
66,Diana,clean,utility,0.083,1
66,Barry,sleep,utility,0.5732000000000002,1
66,Lex,sleep,rule,0.0,0
67,Bruce,play,fuzzy,3.9,1
67,Clark,sleep,fuzzy,0.0,0
67,Diana,sleep,utility,0.6264000000000001,1
67,Barry,cook,utility,0.5015999999999997,1
67,Lex,sleep,rule,0.0,0
68,Bruce,study,fuzzy,3.5,1
68,Clark,sleep,fuzzy,0.0,0
68,Diana,play,utility,0.6431000000000007,1
68,Barry,play,utility,0.5765000000000006,1
68,Lex,sleep,rule,0.0,0
69,Bruce,study,fuzzy,3.5,1
69,Clark,sleep,fuzzy,0.0,0
69,Diana,sleep,utility,0.6216000000000002,1
69,Barry,shower,utility,0.6062000000000011,1
69,Lex,sleep,rule,0.0,0
70,Bruce,sleep,fuzzy,5.1,1
70,Clark,sleep,fuzzy,0.0,0
70,Diana,cook,utility,0.6291000000000001,1
70,Barry,clean,utility,0.595,1
70,Lex,sleep,rule,0.0,0
71,Bruce,play,fuzzy,3.84,1
71,Clark,sleep,fuzzy,0.0,0
71,Diana,sleep,utility,0.6248,1
71,Barry,sleep,utility,0.5792000000000002,1
71,Lex,sleep,rule,0.0,0
